COM,delta_elec,D_elec_2014,D_elec_2020,pct_voix_exp_2014,pct_voix_exp_2020,Code Nuance 2014,Code Nuance 2020,part_diplome_14,part_diplome_20,delta_pct_diplome,part_cadres_2014,part_cadres_2020,pop2014,pop2020,delta_pop,MED13,MED19
21485,0.0,0.0,0.0,56.05,56.4,LDVD,LNC,0.16457241338848916,0.1960585890653002,0.03148617567681103,0.04798470494598416,0.060519056054251674,2706.0,2535.0,-171.0,20468.0952380952,22060
22054,0.0,0.0,0.0,54.44,58.73,LUMP,LDVC,0.16653816499614496,0.21406420445115168,0.04752603945500672,0.03084040092521203,0.0406461119031619,3891.0,3916.0,25.0,21681.5,23520
22168,0.0,0.0,0.0,39.59,45.5,LDVD,LDVD,0.266409278977715,0.30148947481678406,0.03508019583906907,0.07397706717194305,0.06899579520560051,7279.999999999993,7149.0,-130.99999999999272,22451.0,24850
22222,1.0,0.0,1.0,50.24,39.08,LDVD,LDVG,0.16196236559139784,0.20131339997628003,0.03935103438488219,0.044802867383512544,0.034144790662995174,4464.0,4560.0,96.0,20612.6086956522,21790
22278,1.0,0.0,1.0,54.97,59.89,LMDM,LDVG,0.21227229742121506,0.24130295810062316,0.0290306606794081,0.06370295249386661,0.06847740689891899,45207.0,44166.0,-1041.0,18770.4347826087,19960
22282,-1.0,1.0,0.0,44.29,58.25,LDVG,LNC,0.1757578563293622,0.21907482024892663,0.04331696391956444,0.025253545007285806,0.03298832643721069,3431.9999999999936,3313.0,-118.99999999999363,21770.0,24000
22339,0.0,0.0,0.0,49.15,52.54,LDIV,LNC,0.19075419102791233,0.21264105528891541,0.021886864261003086,0.05335781567214317,0.05467829378375526,2286.0,2521.0,235.0,20556.0,22160
22343,-1.0,1.0,0.0,40.61,54.55,LSOC,LDVD,0.2984974361897505,0.3554330731467709,0.05693563695702042,0.09695021943948896,0.09132295190129208,3639.0,3701.0,62.0,22793.3333333333,24750
23096,-1.0,1.0,0.0,54.45,35.69,LUG,LDIV,0.16739252537127347,0.21432556790441576,0.04693304253314229,0.052478872610720824,0.05925257712423449,13341.999999999998,12697.99999999999,-644.0000000000073,18670.5,20270
24037,0.0,0.0,0.0,46.09,39.06,LDVD,LDVD,0.1681585539802812,0.20028454558670886,0.03212599160642765,0.037953087015120415,0.03978192290290451,27764.0,26359.999999999996,-1404.0000000000036,17853.0,19090
24067,0.0,0.0,0.0,57.79,48.44,LUD,LNC,0.1113471070741947,0.13305422247834367,0.021707115404148963,0.030987818576859918,0.01747988526725403,2704.0,2595.0,-109.0,18114.6666666667,19920
24322,1.0,0.0,1.0,50.72,40.56,LUD,LUG,0.2053261604445388,0.23850470837488927,0.033178547930350466,0.062494604376054856,0.0655111241139486,30068.999999999996,29255.000000000004,-813.9999999999927,18193.5,20050
24352,1.0,0.0,1.0,52.75,37.02,LDVD,LUG,0.12073097560631829,0.1418733729626333,0.021142397356315012,0.03949913471398553,0.031073525705119887,4058.0,3837.0,-221.0,18192.0,19230
25056,0.0,1.0,1.0,47.39,43.84,LUG,LUG,0.23754222127564595,0.25843776339900515,0.0208955421233592,0.08751706485222119,0.0911341003617096,116690.0,118258.0,1568.0,18461.4285714286,19890
25580,0.0,0.0,0.0,51.45,53.55,LDVD,LDVD,0.13001513807169027,0.15361365705553567,0.023598518983845407,0.033414445384352356,0.032113493404462456,9970.000000000002,10897.00000000001,927.0000000000073,17205.0,19100
26045,0.0,0.0,0.0,52.91,53.72,LDVD,LNC,0.2190056639395848,0.25471660565645166,0.03571094171686687,0.07551919446192579,0.05545746541362669,1698.0,1656.0,-42.0,19643.8888888889,21670
26058,0.0,0.0,0.0,50.92,52.81,LUMP,LDVD,0.1921416903740155,0.22288574560536514,0.030744055231349654,0.058836143615708096,0.06310707029145118,19591.0,19814.000000000025,223.00000000002547,19396.5,20980
26064,-1.0,1.0,0.0,54.53,44.36,LSOC,LDIV,0.22951118929592157,0.2678284955235859,0.03831730622766433,0.09237795558237095,0.09094450062835065,6880.0,6839.0,-41.0,21669.0476190476,23610
