COM;P20_POP;Delta_Cadres;Delta_Diplomes;MED19;MED13;Score_Gauche_Ecolo_2020;Score_Bloc_Gauche_2014
01344;5971,0;0,1827908361270687;2,1992952867342943;24430,0;23322,3809523809;100,0;66,13092904743237
01345;2245,0;1,244140837905599;2,376642952575626;22620,0;20551,7391304348;0,0;0,0
01347;2072,0;-2,2432377465934525;4,004391108006281;27750,0;25685,7142857143;0,0;49,29881337648328
01348;3003,0;1,7940442088169275;2,7467323772057064;22410,0;20481,5094339623;0,0;100,0
01350;2538,0;-0,8277848688572762;1,996319282935957;23320,0;20982,6666666667;0,0;35,46302943287868
01351;1602,0;2,399438177563164;2,8661327729909125;22190,0;19934,8;0,0;0,0
01353;1723,0;-1,018686565459456;3,3568112188252357;26480,0;24433,5119047619;0,0;0,0
01354;14274,0;2,0240496887346566;6,3023463925484435;29370,0;27939,7222222222;0,0;51,50044130626655
01360;1934,0;-0,267230812023314;1,5258896037182623;38990,0;35272,0;0,0;0,0
01361;1600,0;-1,3236433179639118;10,04686441519845;27210,0;25276,6666666667;0,0;0,0
01363;1786,0;1,533625970017419;3,6667717945171;23040,0;21019,0476190476;0,0;0,0
01365;1165,0;0,9521863380215524;6,228914435186574;23940,0;21038,6666666667;0,0;0,0
01366;1088,0;1,0348543954407745;1,4203374354775526;24220,0;22048,8888888889;0,0;0,0
01370;1674,0;-0,7891085782333729;-3,694897119620908;18660,0;17647,0;0,0;0,0
01371;1221,0;0,0471540720959176;3,0894371027526546;24640,0;21919,1304347826;0,0;31,5
01373;1009,0;-1,3154433043935807;4,523765717708333;23520,0;21022,5;0,0;0,0
01374;1877,0;-3,969196809555882;2,075702033411435;24610,0;22216,1904761905;0,0;0,0
01376;4066,0;0,6574813860342505;4,169041512949722;22630,0;20345,6;100,0;65,84481508339375
01378;2699,0;1,0890385857568514;2,043406890500425;26740,0;24919,5217391304;0,0;58,911325724319575
01383;1583,0;0,0126211064938601;-1,3055152038021944;21970,0;20174,0;0,0;0,0
01384;2172,0;-0,5707748208755312;1,426260703075366;18900,0;17572,0;0,0;67,7536231884058
01386;1117,0;1,871892361299917;3,142065108374151;25650,0;24242,0;0,0;0,0
01388;1116,0;0,5715911363513309;2,5835498720760413;20330,0;18671,4285714286;0,0;32,510288065843625
01389;1823,0;-2,7021035219266003;1,6539776498965892;23000,0;20584,5;0,0;0,0
