Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
38022,Les Avenières Veyrins-Thuellin,2.0,LRN,M,DAMAIS,Edmond,RASSEMBLEMENT POUR LES AVENIERES VEYRINS-THUELLIN,1.0,0.0,0.0,203.0,3.46,9.7,no
38022,Les Avenières Veyrins-Thuellin,3.0,LDVC,M,LAGRANGE,Thierry,VOLONTE COMMUNE - 100% AVEYRLINOIS,7.0,0.0,1.0,857.0,14.63,40.95,no
38022,Les Avenières Veyrins-Thuellin,1.0,LDVC,M,MICHOUD,Daniel,POURSUIVRE AVEC VOUS,25.0,0.0,6.0,1033.0,17.63,49.35,yes
38027,Barraux,1.0,LNC,M,ENGRAND,Christophe,Ensemble gardons le cap,4.0,0.0,0.0,497.0,30.87,46.93,no
38027,Barraux,2.0,LNC,F,BEATINI,Ingrid,BARRAUX A-VENIR,15.0,0.0,1.0,562.0,34.91,53.07,yes
38053,Bourgoin-Jallieu,4.0,LUD,M,CHRIQUI,Vincent,GARDONS LE CAP !,25.0,0.0,12.0,2223.0,13.23,42.44,yes
38053,Bourgoin-Jallieu,1.0,LUG,M,PERRARD,Damien,"BOURGOIN-JALLIEU : CONSTRUISONS UNE VILLE ÉCOLOGIQUE, UNIE ET SOLIDAIRE",7.0,0.0,3.0,1998.0,11.89,38.14,no
38053,Bourgoin-Jallieu,5.0,LDVC,M,PARDAL,Jean-Claude,BERJALLIENS ALLONS PLUS LOIN,3.0,0.0,1.0,1017.0,6.05,19.42,no
38087,Chasse-sur-Rhône,4.0,LDVG,M,BOUVIER,Christophe,CHASSE NOUVELLE ÈRE,21.0,0.0,2.0,677.0,18.48,45.38,yes
38087,Chasse-sur-Rhône,5.0,LDVD,F,DANIELE,Muriel,CHASSÈRES AVANT TOUT,4.0,0.0,0.0,407.0,11.11,27.28,no
38087,Chasse-sur-Rhône,1.0,LDVC,M,BOSIO,Claude,AGIR ENSEMBLE POUR CHASSE,4.0,0.0,1.0,408.0,11.14,27.35,no
38133,Coublevie,3.0,LDVG,M,FORTOUL,Pascal,COUBLEVIE AUTREMENT,5.0,0.0,1.0,808.0,20.65,39.32,no
38133,Coublevie,2.0,LECO,F,PERVES,Adrienne,Avenir Coublevie,20.0,0.0,2.0,966.0,24.69,47.01,yes
38133,Coublevie,1.0,LDVC,M,WARIN,Patrick,"AVEC VOUS, COUBLEVIE DEMAIN",2.0,0.0,0.0,281.0,7.18,13.67,no
38140,Crolles,1.0,LDVG,F,HYVRARD,Anne-Françoise,"Crolles 2020 : écologie, solidarité, participation - une ambition partagée",7.0,0.0,1.0,1357.0,20.46,47.63,no
38140,Crolles,3.0,LDVC,M,LORIMIER,Philippe,Crolles ensemble,22.0,0.0,5.0,1492.0,22.5,52.37,yes
38148,Dolomieu,3.0,LNC,M,FREMY,Didier,DOLOMIEU 2020,2.0,0.0,0.0,213.0,8.58,18.52,no
38148,Dolomieu,1.0,LNC,M,LABROSSE,Jean-Claude,ENGAGÉS POUR DOLOMIEU,4.0,0.0,1.0,389.0,15.67,33.83,no
38148,Dolomieu,2.0,LNC,F,HARTMANN,Delphine,DOLOMIEU ENSEMBLE,17.0,0.0,2.0,548.0,22.08,47.65,yes
38151,Echirolles,7.0,LUG,M,SULLI,Renzo,ECHIROLLES EN COMMUN,27.0,0.0,6.0,2353.0,11.31,36.89,yes
38151,Echirolles,2.0,LRN,M,JOLLY,Alexis,RASSEMBLEMENT POUR ECHIROLLES,4.0,0.0,1.0,1450.0,6.97,22.73,no
38151,Echirolles,6.0,LDVG,M,ROSA,Alban,"ECHIROLLES A'VENIR, NOTRE VILLE RASSEMBLEE",5.0,0.0,1.0,1567.0,7.53,24.57,no
38151,Echirolles,5.0,LUC,F,SARRAT,Fabienne,Changer Echirolles c'est possible,3.0,0.0,0.0,1008.0,4.84,15.8,no
38158,Eybens,1.0,LUG,F,VERSAUT,Pascale,VIVRE EYBENS,3.0,0.0,0.0,570.0,8.28,22.67,no
38158,Eybens,2.0,LDVG,M,BEJJAJI,Pierre,Eybens demain,24.0,0.0,2.0,1045.0,15.18,41.57,yes
38158,Eybens,3.0,LDVC,F,BESSON VERDONCK,Hélène,Ensemble servir Eybens,6.0,0.0,0.0,899.0,13.06,35.76,no
38169,Fontaine,5.0,LUG,M,TROVERO,Jean-Paul,Oser une planète commune écologique et solidaire,6.0,0.0,1.0,1969.0,15.16,38.66,no
38169,Fontaine,4.0,LDVC,M,LONGO,Franck,Ensemble pour Fontaine avec Franck LONGO et Laurent THOVISTE,29.0,0.0,4.0,3124.0,24.05,61.34,yes
38185,Grenoble,3.0,LDVD,M,CARIGNON,Alain,La société civile avec Alain Carignon,7.0,0.0,4.0,7133.0,8.24,23.44,no
38185,Grenoble,7.0,LDVG,M,PIOLLE,Eric,Grenoble en commun,46.0,0.0,28.0,16169.0,18.67,53.14,yes
38185,Grenoble,5.0,LDVC,F,CHALAS,Emilie,Un nouveau regard sur Grenoble,3.0,0.0,2.0,3803.0,4.39,12.5,no
38185,Grenoble,4.0,LSOC,M,NOBLECOURT,Olivier,Grenoble nouvel air,3.0,0.0,2.0,3325.0,3.84,10.93,no
38193,L'Isle-d'Abeau,3.0,LDVG,F,VERDEL,Véronique,DEMAIN AVEC VOUS,2.0,0.0,0.0,389.0,4.13,14.61,no
38193,L'Isle-d'Abeau,2.0,LDVC,M,MARION,Cyril,AGISSONS POUR L'ISLE D'ABEAU,26.0,0.0,8.0,1484.0,15.77,55.73,yes
