Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
60524,Rantigny,LDIV,F,ROOS,Monique,RANTIGNY D'ABORD,2,0.0,0.0,201.0,12.88,18.73,no
60524,Rantigny,LDIV,M,DELION,Dominique,AGIR POUR RANTIGNY,16,0.0,3.0,344.0,22.04,32.06,yes
60524,Rantigny,LDIV,M,DOISE,Pierre,LISTE D'UNION DEMOCRATIQUE POUR RANTIGNY-UNY SAINT GEORGES,2,0.0,0.0,198.0,12.68,18.45,no
60524,Rantigny,LDIV,M,BURNER,Philippe,RANTIGNY L'AVENIR ENSEMBLE,3,0.0,1.0,330.0,21.14,30.75,no
60575,Sainte-Geneviève,LDIV,M,DERRIEN,Dominique,Demain Sainte-Geneviève,2,0.0,0.0,268.0,13.38,21.93,no
60575,Sainte-Geneviève,LDVD,F,VANBERSEL,Jacqueline,UNE EQUIPE FORTE POUR AGIR ENSEMBLE,18,0.0,2.0,589.0,29.41,48.2,yes
60575,Sainte-Geneviève,LDIV,M,BOUILLETTE,Alain,Un Nouvel Avenir pour Sainte Geneviève,3,0.0,1.0,365.0,18.22,29.87,no
60612,Senlis,LUMP,M,BASCHER,Jérôme,ALLEZ SENLIS,4,0.0,1.0,1472.0,13.61,23.57,no
60612,Senlis,LDVD,M,CANTER,Jean-Christophe,Aimer Senlis avec Jean-Christophe CANTER,4,0.0,1.0,1533.0,14.18,24.55,no
60612,Senlis,LDVD,F,LOISELEUR,Pascale,Senlis alternative,25,0.0,11.0,3240.0,29.96,51.88,yes
60678,Villeneuve-les-Sablons,LDIV,M,NEVEU,Christian,PLUS LOIN ENSEMBLE,11,0.0,2.0,288.0,34.33,44.93,yes
60678,Villeneuve-les-Sablons,LDIV,F,VASQUEZ,Anne-Thérèse,AGISSONS ENSEMBLE,1,0.0,0.0,129.0,15.38,20.12,no
60678,Villeneuve-les-Sablons,LDIV,F,ANDRE- BAUCHET,Corinne,Agir Avec Vous Pour Villeneuve,3,0.0,0.0,224.0,26.7,34.95,no
61001,Alençon,LUD,F,ROIMIER,Christine,UNIS ET FIERS D'ALENÇON,8,0.0,7.0,4429.0,27.51,49.52,no
61001,Alençon,LUG,M,PUEYO,Joaquim,"Ensemble, continuons Alençon. Ville Avenir !",27,0.0,23.0,4515.0,28.05,50.48,yes
61145,Domfront,LDVG,F,LAURENT,Adèle,UNE ALTERNATIVE INNOVANTE POUR DOMFRONT,3,0.0,0.0,382.0,12.89,24.44,no
61145,Domfront,LDVD,M,SOUL,Bernard,UN NOUVEL HORIZON POUR DOMFRONT,24,0.0,7.0,1181.0,39.86,75.56,yes
61230,Longny-au-Perche,LDIV,M,LAUNAY,Jacques,Longny réveille toi !,3,0.0,1.0,269.0,25.52,37.89,no
61230,Longny-au-Perche,LDIV,M,BEGAUD,Daniel,AGIR ENSEMBLE POUR LONGNY,1,0.0,0.0,155.0,14.71,21.83,no
61230,Longny-au-Perche,LDIV,M,GRUDE,André,LONGNY AUTRE AVENIR,11,0.0,4.0,286.0,27.13,40.28,yes
61508,Vimoutiers,LDVD,M,GOURDEL,Sébastien,Tous pour Vimoutiers,5,0.0,3.0,626.0,24.0,36.48,no
